link,quote,rank,rate,star,title
https://movie.douban.com/subject/3287562/,Mr. I Don't Care其实也有Care的时候。,115,"8.5,339668人评价",,神偷奶爸
https://movie.douban.com/subject/1292401/,爱，是个动词。,116,"8.5,287478人评价",,真爱至上
https://movie.douban.com/subject/4202302/,曾经的那段美好会沉淀为一辈子的记忆。,117,"8.7,198383人评价",,借东西的小人阿莉埃蒂
https://movie.douban.com/subject/1296909/,永远看不腻的喜剧。,118,"8.9,99424人评价",,虎口脱险
https://movie.douban.com/subject/1297447/,两张绝世的脸。 ,119,"8.6,223181人评价",,倩女幽魂
https://movie.douban.com/subject/3792799/,岁月流逝，来日可追。,120,"8.6,284766人评价",,岁月神偷
https://movie.douban.com/subject/1291870/,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,121,"8.6,194943人评价",,雨人
https://movie.douban.com/subject/21318488/,,122,"8.7,314675人评价",,消失的爱人
https://movie.douban.com/subject/1295399/,时代悲歌。,123,"9.1,68441人评价",,七武士
https://movie.douban.com/subject/2209573/,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,124,"8.5,371637人评价",,贫民窟的百万富翁
https://movie.douban.com/subject/1304447/,一个针管引发的血案。,125,"8.5,254079人评价",,记忆碎片
https://movie.douban.com/subject/21360417/,恐怖分子的“秋菊打官司”。,126,"8.7,189263人评价",,恐怖直播
https://movie.douban.com/subject/1292328/,电影诗。,127,"8.6,229924人评价",,东邪西毒
https://movie.douban.com/subject/1907966/,老少皆宜，这就是好莱坞动画的魅力。,128,"8.7,344255人评价",,疯狂原始人
https://movie.douban.com/subject/1291579/,不要给它起名字，起了名字就有感情了。,129,"8.6,216554人评价",,怪兽电力公司
https://movie.douban.com/subject/1300299/,关于连环杀人悬案的集体回忆。,130,"8.6,185837人评价",,杀人回忆
https://movie.douban.com/subject/1937946/,爱上未来的你。 ,131,"8.6,170075人评价",,穿越时空的少女
https://movie.douban.com/subject/1291822/,当这个世界闭上双眼，他却敞开了怀抱。,132,"8.8,107227人评价",,卢旺达饭店
https://movie.douban.com/subject/1865703/,梦的勾结。,133,"8.8,111766人评价",,红辣椒
https://movie.douban.com/subject/1293964/,中国式内在的美国电影。,134,"8.8,120364人评价",,魂断蓝桥
https://movie.douban.com/subject/1978709/,黑暗之美。,135,"8.5,384872人评价",,黑天鹅
https://movie.douban.com/subject/1309163/,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,136,"8.5,254002人评价",,恋恋笔记本
https://movie.douban.com/subject/1292528/,不可猜的青春迷笛。 ,137,"8.5,225465人评价",,猜火车
https://movie.douban.com/subject/1303037/,中国家庭的喜怒哀乐忍。,138,"8.8,121613人评价",,喜宴
https://movie.douban.com/subject/1297574/,英雄泪短，兄弟情长。 ,139,"8.7,132688人评价",,英雄本色
https://movie.douban.com/subject/1418200/,爱是摈弃傲慢与偏见之后的曙光。,140,"8.4,272687人评价",,傲慢与偏见
https://movie.douban.com/subject/1294240/,任何信念的力量，都无法改变命运。,141,"8.7,117287人评价",,教父3
https://movie.douban.com/subject/1293460/,骨灰级歌舞片。,142,"8.9,84771人评价",,雨中曲
https://movie.douban.com/subject/1300992/,坏人的好总是比好人的好来得更感人。,143,"9.0,70853人评价",,完美的世界
https://movie.douban.com/subject/1858711/,跨度十五年的欢乐与泪水。,144,"8.7,179497人评价",,玩具总动员3
https://movie.douban.com/subject/25814705/,,145,"8.9,106641人评价",,小森林 夏秋篇
https://movie.douban.com/subject/1295409/,香港浪漫主义警匪动作片的巅峰之作。,146,"8.7,126861人评价",,纵横四海
https://movie.douban.com/subject/1302827/,对爱的执着，可以超越一切。,147,"8.6,174428人评价",,人工智能
https://movie.douban.com/subject/5989818/,触不到的恋人。,148,"8.7,137947人评价",,萤火之森
https://movie.douban.com/subject/1302425/,我是一个演员。,149,"8.4,271832人评价",,喜剧之王
https://movie.douban.com/subject/1306861/,爱并不需要智商 。,150,"8.8,91565人评价",,我是山姆
https://movie.douban.com/subject/1760622/,一个单凭体香达到高潮的男人。,151,"8.4,252260人评价",,香水
https://movie.douban.com/subject/1291578/,松鼠才是角儿。,152,"8.4,248254人评价",,冰川时代
https://movie.douban.com/subject/2297265/,世界离独裁只有五天。,153,"8.7,116985人评价",,浪潮
https://movie.douban.com/subject/1388216/,天使与魔鬼的冲撞。,154,"8.6,161075人评价",,撞车
https://movie.douban.com/subject/10777687/,《我是山姆》的《美丽人生》。,155,"8.7,150767人评价",,7号房的礼物
https://movie.douban.com/subject/3011235/,10年的完美句点。,156,"8.6,249193人评价",,哈利·波特与死亡圣器(下)
https://movie.douban.com/subject/2213597/,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,157,"8.5,258892人评价",,朗读者
https://movie.douban.com/subject/2043546/,青春就是放弃和怀念。,158,"8.4,264382人评价",,秒速5厘米
https://movie.douban.com/subject/1397546/,诺兰的牛逼来源于内心散发出的恐惧。,159,"9.0,70201人评价",,追随
https://movie.douban.com/subject/1291557/,偷情本没有这样美。,160,"8.4,218572人评价",,花样年华
https://movie.douban.com/subject/1300960/,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,161,"8.7,101951人评价",,碧海蓝天
https://movie.douban.com/subject/1291879/,人生的N种可能性。,162,"8.7,109472人评价",,罗生门
https://movie.douban.com/subject/1292270/,一场没有春天的噩梦。,163,"8.7,99798人评价",,梦之安魂曲
https://movie.douban.com/subject/1419936/,做一颗让别人需要你的棋子。,164,"8.5,159840人评价",,战争之王
https://movie.douban.com/subject/1308857/,坚硬的信仰。,165,"8.6,117293人评价",,可可西里
https://movie.douban.com/subject/5964718/,只有有信仰的人才能说出事实真相。,166,"8.7,119403人评价",,一次别离
https://movie.douban.com/subject/3007773/,生命不止，摇滚不死。,167,"8.6,155867人评价",,海盗电台
https://movie.douban.com/subject/25917973/,,168,"8.6,133480人评价",,心迷宫
https://movie.douban.com/subject/1306249/,华太师是黄霑，吴镇宇四大才子之一。,169,"8.3,281536人评价",,唐伯虎点秋香
https://movie.douban.com/subject/11026735/,,170,"8.6,329744人评价",,超能陆战队
https://movie.douban.com/subject/10577869/,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,171,"8.6,170459人评价",,时空恋旅人
https://movie.douban.com/subject/1308767/,谁说王家卫镜头很晃？,172,"8.5,144517人评价",,谍影重重2
https://movie.douban.com/subject/1304102/,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,173,"8.5,175130人评价",,谍影重重
https://movie.douban.com/subject/3395373/,诺兰就是保证。,174,"8.5,267671人评价",,蝙蝠侠：黑暗骑士崛起
https://movie.douban.com/subject/1292281/,最美的飞翔。,175,"9.1,48569人评价",,迁徙的鸟
https://movie.douban.com/subject/2363506/,天使保护事件始末。,176,"8.8,70599人评价",,地球上的星星
https://movie.douban.com/subject/1905462/,出门必备：本草纲目。,177,"8.6,116492人评价",,荒野生存
https://movie.douban.com/subject/1305690/,王家卫是一种风格，张国荣是一个代表。,178,"8.5,158358人评价",,阿飞正传
https://movie.douban.com/subject/1300374/,天使暂时离开。,179,"8.7,96042人评价",,绿里奇迹
https://movie.douban.com/subject/1292728/,类型片的极致。 ,180,"8.5,130089人评价",,勇闯夺命岛
https://movie.douban.com/subject/24750126/,,181,"8.7,109340人评价",,荒蛮故事
https://movie.douban.com/subject/3011051/,不要企图在重复中寻找已经失去的爱。,182,"8.3,277156人评价",,恐怖游轮
https://movie.douban.com/subject/1293181/,故事的反转与反转，分裂电影的始祖。,183,"8.8,72355人评价",,惊魂记
https://movie.douban.com/subject/1307793/,现实与童话交相辉映的旅程。,184,"8.6,101047人评价",,燕尾蝶
https://movie.douban.com/subject/1307811/,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,185,"8.4,172948人评价",,魔女宅急便
https://movie.douban.com/subject/1296753/,与同名歌曲无关。,186,"8.6,112872人评价",,卡萨布兰卡
https://movie.douban.com/subject/25814707/,,187,"8.9,92011人评价",,小森林 冬春篇
https://movie.douban.com/subject/1793929/,Jared Leto的腿比女人还美！,188,"8.6,149409人评价",,达拉斯买家俱乐部
https://movie.douban.com/subject/6874403/,爱我就给我看你的播放列表。,189,"8.5,144922人评价",,再次出发之纽约遇见你
https://movie.douban.com/subject/25662329/,,190,"9.2,443432人评价",,疯狂动物城
https://movie.douban.com/subject/1291853/,"In memory, love lives forever...",191,"8.4,162203人评价",,英国病人
https://movie.douban.com/subject/2300586/,科幻真正的魅力不是视觉效果能取代的。 ,192,"8.5,157262人评价",,这个男人来自地球
https://movie.douban.com/subject/1292659/,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,193,"8.4,196236人评价",,变脸
https://movie.douban.com/subject/1395091/,好的剧本是，就算你猜到了结局也猜不到全部。,194,"8.8,78172人评价",,未麻的部屋
https://movie.douban.com/subject/1291568/,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,195,"9.2,43876人评价",,东京物语
https://movie.douban.com/subject/1291844/,少见的超越首部的续集，动作片中的经典。,196,"8.5,127777人评价",,终结者2：审判日
https://movie.douban.com/subject/25773932/,,197,"8.6,205900人评价",,爆裂鼓手
https://movie.douban.com/subject/4798888/,乐观比一切都有力量。,198,"8.6,98854人评价",,叫我第一名
https://movie.douban.com/subject/6307447/,热血沸腾，那个低俗、性感的无耻混蛋又来了。,199,"8.5,236877人评价",,被解救的姜戈
https://movie.douban.com/subject/1294638/,生病的E.T.皮肤的颜色就像柿子饼。,200,"8.5,137933人评价",,E.T. 外星人
https://movie.douban.com/subject/1292329/,弱者送给弱者的一刀。,201,"8.7,90958人评价",,牯岭街少年杀人事件
https://movie.douban.com/subject/1291992/,没有了退路，只好飞向自由。,202,"8.7,92045人评价",,末路狂花
https://movie.douban.com/subject/1959195/,养狗三日，便会对你终其一生。,203,"9.0,47931人评价",,忠犬八公物语
https://movie.douban.com/subject/1307315/,想你时你在闹海。,204,"8.8,70323人评价",,哪吒闹海
https://movie.douban.com/subject/1292217/,大卫·林奇的梦境迷宫。,205,"8.3,210008人评价",,穆赫兰道
https://movie.douban.com/subject/1292233/,我完全康复了。,206,"8.4,169351人评价",,发条橙
https://movie.douban.com/subject/3075287/,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,207,"8.3,373526人评价",,源代码
https://movie.douban.com/subject/1302467/,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,208,"8.5,138229人评价",,黑客帝国3：矩阵革命
https://movie.douban.com/subject/1292214/,我不信仰上帝，但我敬畏上帝。,209,"8.6,103834人评价",,非常嫌疑犯
https://movie.douban.com/subject/1303394/,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,210,"8.4,194531人评价",,青蛇
https://movie.douban.com/subject/1292062/,每个人的内心都是深不可测的大海。 ,211,"8.4,167343人评价",,美国丽人
https://movie.douban.com/subject/1292287/,嬉笑怒骂，调风动月。,212,"8.4,163843人评价",,新龙门客栈
https://movie.douban.com/subject/1401118/,最棒的西部片。,213,"9.1,44938人评价",,黄金三镖客
https://movie.douban.com/subject/1297478/,纯净原始的笑与感动。,214,"8.6,87296人评价",,上帝也疯狂
https://movie.douban.com/subject/1438652/,昆汀同学越来越变态了，比北野武还杜琪峰。,215,"8.4,202498人评价",,无耻混蛋
https://movie.douban.com/subject/1299361/,献给所有外婆的电影。,216,"9.0,42789人评价",,爱·回家
https://movie.douban.com/subject/1293908/,永远的小人物，伟大的卓别林。,217,"9.2,37028人评价",,城市之光
https://movie.douban.com/subject/3217169/,热血沸腾，相当完美的娱乐拳击大餐。,218,"8.9,79291人评价",,勇士
https://movie.douban.com/subject/4739952/,黑小鸭速效美白记。,219,"8.2,414761人评价",,初恋这件小事
https://movie.douban.com/subject/2053515/,有些幸福无关爱情。,220,"8.3,188220人评价",,曾经
https://movie.douban.com/subject/1308575/,青春的窃窃私语。 ,221,"8.2,252592人评价",,蓝色大门
https://movie.douban.com/subject/1302476/,麦兜是一只很哲学的猪。 ,222,"8.5,116852人评价",,麦兜故事
https://movie.douban.com/subject/1308777/,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。,223,"8.4,131544人评价",,暖暖内含光
https://movie.douban.com/subject/1292056/,我们长途跋涉寻找的东西，有可能一直就在身边。 ,224,"8.6,89000人评价",,蝴蝶
https://movie.douban.com/subject/6534248/,迪士尼和皮克斯拿错剧本的产物。,225,"8.6,168893人评价",,无敌破坏王
https://movie.douban.com/subject/1293764/,充满诗意与情怀的史诗作品。 ,226,"8.9,51857人评价",,与狼共舞
https://movie.douban.com/subject/3157605/,四百击的反面。,227,"8.6,97658人评价",,巴黎淘气帮
https://movie.douban.com/subject/1305725/,捍卫人权只是信仰，一点不妨碍其行为的残忍。,228,"8.7,75810人评价",,大卫·戈尔的一生
https://movie.douban.com/subject/1867345/,用剩余不多的时间，去燃烧整个生命。,229,"8.5,111720人评价",,遗愿清单
https://movie.douban.com/subject/4023638/,皇上无话儿。,230,"8.3,307473人评价",,国王的演讲
https://movie.douban.com/subject/1428175/,每个美丽事物背后都是滴血的现实。,231,"8.5,114967人评价",,血钻
https://movie.douban.com/subject/1299327/,弥漫淡淡血腥气的优雅。,232,"8.3,181389人评价",,夜访吸血鬼
https://movie.douban.com/subject/1301171/,典型盖·里奇式的英国黑色幽默黑帮片。,233,"8.5,105255人评价",,偷拐抢骗
https://movie.douban.com/subject/10463953/,,234,"8.5,223744人评价",,模仿游戏
https://movie.douban.com/subject/1298653/,一个人的独角戏。,235,"8.4,118459人评价",,荒岛余生
https://movie.douban.com/subject/2365260/,把爱放在心底，有爱就有希望。,236,"8.3,205951人评价",,爱在暹罗
https://movie.douban.com/subject/1292218/,心灵救赎。,237,"8.7,70662人评价",,中央车站
https://movie.douban.com/subject/1308817/,"Love me, if you dare. ",238,"8.1,296582人评价",,两小无猜
https://movie.douban.com/subject/3073124/,2009媲美《第九区》的又一部科幻神作。,239,"8.5,128086人评价",,月球
https://movie.douban.com/subject/1300117/,一部能引人思考的科幻励志片。,240,"8.7,72536人评价",,千钧一发
https://movie.douban.com/subject/1862151/,中国版《两杆大烟枪》。,241,"8.2,275369人评价",,疯狂的石头
https://movie.douban.com/subject/1300741/,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,242,"8.6,86368人评价",,枪火
https://movie.douban.com/subject/1309027/,权力不是来自枪和子弹，权力来自谎言。,243,"8.4,130050人评价",,罪恶之城
https://movie.douban.com/subject/6146955/,仪式主义的狂欢，偏执狂的完胜。,244,"8.8,72347人评价",,寿司之神
https://movie.douban.com/subject/5908478/,你要相信，这世上真的有爱存在，不管在什么年纪 ,245,"9.0,48435人评价",,我爱你
